Mean Response - x, Mean Response - y, Inner Corridor - x, Inner Corridor - y, Outer Corridor - x, Outer Corridor - y
5.437675466216863596e-01, 1.349409943679433566e+00, 9.170195184006848521e-01, 1.739579698750886028e+00, 9.170195184006848521e-01, 1.739579698750886028e+00
6.333658477176594692e-01, 1.432283834864498173e+00, 9.741017696564288064e-01, 1.734834486990188607e+00, 8.790095652083640410e-01, 1.747233142737609102e+00
7.229080942752798000e-01, 1.515097395331499674e+00, 1.031378945315204909e+00, 1.735263564588219953e+00, 8.428071000775569921e-01, 1.760959825488997765e+00
8.113263434026105614e-01, 1.600081097367397120e+00, 1.088183500900835599e+00, 1.741950524854716686e+00, 8.304734017940775814e-01, 1.791923168061616334e+00
8.959247734022599552e-01, 1.693175603663213069e+00, 1.127579266395035029e+00, 1.776466907077099755e+00, 8.473013192228839863e-01, 1.821899061658427410e+00
9.790979629843171717e-01, 1.789231216029744553e+00, 1.147508964941478693e+00, 1.820205255383411824e+00, 8.810889533424356435e-01, 1.840887583548201700e+00
1.061231804925771627e+00, 1.887024432820359365e+00, 1.199798492054806598e+00, 1.842007266493649986e+00, 9.093110151075189940e-01, 1.856881773453621376e+00
1.141814867023288382e+00, 1.987424882519750469e+00, 1.241601076403775705e+00, 1.879214074806319745e+00, 8.798165996169721170e-01, 1.881610635497476203e+00
1.220999862030539340e+00, 2.090243486426583974e+00, 1.277473382044981731e+00, 1.923790984016568117e+00, 8.796418584724391421e-01, 1.907156324260019353e+00
1.299145562364016238e+00, 2.194722745010046605e+00, 1.323308352158527601e+00, 1.944242416060682821e+00, 9.140430101943448626e-01, 1.924961366939965890e+00
1.376296637132270684e+00, 2.300597570193073427e+00, 1.305870073395159592e+00, 1.902573958297292922e+00, 9.512498970449517754e-01, 1.935745721289827026e+00
1.452531862463223744e+00, 2.407874134298691349e+00, 1.269590293389033953e+00, 1.858272582328857947e+00, 9.896889353359884511e-01, 1.940888714392120518e+00
1.528328469160044945e+00, 2.515697432865772853e+00, 1.238337849016755143e+00, 1.810279193778878915e+00, 9.682732408004782743e-01, 1.954797569637501731e+00
1.603027082782287449e+00, 2.625090287032210146e+00, 1.200544830529110207e+00, 1.767253395361687796e+00, 9.390332231929647833e-01, 1.980293805282153929e+00
1.677274549427963946e+00, 2.735052773680104021e+00, 1.166295315588199877e+00, 1.721357752433848587e+00, 9.566313231848903031e-01, 2.008390785098573161e+00
1.751157017938634652e+00, 2.845437196162148741e+00, 1.132539894124190205e+00, 1.675258613395618434e+00, 9.857878623269722418e-01, 2.033501814309296218e+00
1.824469964672504885e+00, 2.956550306028157937e+00, 1.095392970771728036e+00, 1.631702329184203215e+00, 1.008190470687577278e+00, 2.065178366276160915e+00
1.897318857551205218e+00, 3.068208386613397565e+00, 1.062257210497273840e+00, 1.584971069377692388e+00, 1.016751942594593006e+00, 2.102365538356898877e+00
1.969846712702095992e+00, 3.180254583262879464e+00, 1.025836449954398155e+00, 1.540798169674858720e+00, 1.038750737377796440e+00, 2.131135986867967347e+00
2.042057277769993906e+00, 3.292657452892044034e+00, 9.910341785073434329e-01, 1.495350835453335359e+00, 1.072399696385952783e+00, 2.150174425563073921e+00
2.113701994835476938e+00, 3.405712072110789190e+00, 9.598674124433163035e-01, 1.447276477106818504e+00, 1.090628517292809851e+00, 2.172211131196378098e+00
2.185321928678568781e+00, 3.518735083550045939e+00, 9.260602894352385484e-01, 1.401069240875695510e+00, 1.083525476049157277e+00, 2.207858240785156578e+00
2.256928040183355577e+00, 3.631721343751360909e+00, 8.935571116018855564e-01, 1.353965185050918452e+00, 1.106992398841467162e+00, 2.238698700792281393e+00
2.328057975110246147e+00, 3.745264371305225382e+00, 8.632455590604329876e-01, 1.305362319713737174e+00, 1.133046911167107984e+00, 2.267472369052112580e+00
2.398738783924411422e+00, 3.859324083755513612e+00, 8.295956363485794682e-01, 1.258998209119406519e+00, 1.154412870795075152e+00, 2.298585704370109450e+00
2.469829113784504759e+00, 3.972723317014107636e+00, 7.998959850875596578e-01, 1.210030667064047050e+00, 1.163102875758485366e+00, 2.335836366007074894e+00
2.541581902860777564e+00, 4.085099639138068284e+00, 7.659792322760551331e-01, 1.163927775974000989e+00, 1.191119033013099848e+00, 2.362466244907106550e+00
2.612513960421960046e+00, 4.198456929707282903e+00, 7.345568338159950139e-01, 1.116043805721631754e+00, 1.214627092772623485e+00, 2.390247208098860376e+00
2.682411007996737151e+00, 4.313228459625420896e+00, 7.023575612650633238e-01, 1.068663662363253275e+00, 1.225511492876618425e+00, 2.427339701122853022e+00
2.752271445367414415e+00, 4.428106742997957923e+00, 6.690300629776778640e-01, 1.022107690832759319e+00, 1.243193627764720421e+00, 2.461896179059557710e+00
2.823707402726057580e+00, 4.540534580313152269e+00, 6.383694523721018532e-01, 9.737901910226430813e-01, 1.270977879137159317e+00, 2.488872058219479211e+00
2.897859766776232249e+00, 4.648562953962126265e+00, 6.040218807256197975e-01, 9.279437045326164313e-01, 1.292763124248145212e+00, 2.518597882760716278e+00
2.967141458012900301e+00, 4.760958499549352574e+00, 5.733276281392664098e-01, 8.795715180171337355e-01, 1.301187432703694746e+00, 2.555955218045275590e+00
3.033666170039289955e+00, 4.879532203396840906e+00, 5.398982187096491581e-01, 8.330649480385909911e-01, 1.324118290791650665e+00, 2.587227895793987376e+00
3.102373001560452703e+00, 4.995305131359915940e+00, 5.084069442090537461e-01, 7.852561665541136771e-01, 1.347452659119473761e+00, 2.618240579247351540e+00
3.175982869946182063e+00, 5.104019136683560554e+00, 4.740766751811085755e-01, 7.395968125731214871e-01, 1.365895768021489376e+00, 2.651897599668049388e+00
3.235171611803534741e+00, 5.221972008003914034e+00, 4.410534972502275219e-01, 6.928190732531583906e-01, 1.380187772285660808e+00, 2.687584861353165877e+00
3.303301166538325173e+00, 5.334895706600207177e+00, 4.068269734012570638e-01, 6.469414096310538431e-01, 1.405886858031229369e+00, 2.716569562008275263e+00
3.375593512570668864e+00, 5.445379107687142728e+00, 3.731880165046071451e-01, 6.006000750155415790e-01, 1.425073097437649317e+00, 2.749758296027039695e+00
3.448638182438955369e+00, 5.554779879539050391e+00, 3.391017055850039652e-01, 5.545576336529561834e-01, 1.441037278669239363e+00, 2.785141447401255910e+00
3.514181182064084030e+00, 5.668627697210882666e+00, 3.045364353723166162e-01, 5.088799804648918013e-01, 1.459677050938491982e+00, 2.818939518878156303e+00
3.576013419620112099e+00, 5.784815833602812596e+00, 2.713231533031008613e-01, 4.622152527874820449e-01, 1.486947216278339257e+00, 2.846441048317806199e+00
3.647177924425824447e+00, 5.894824965274391815e+00, 2.362266840714868643e-01, 4.169540635963762121e-01, 1.502270660383791201e+00, 2.880590317201105144e+00
3.720411039861223568e+00, 6.003814016853276314e+00, 2.015455130943923368e-01, 3.713614787577409482e-01, 1.516649618173012914e+00, 2.916297479894699674e+00
