Mean Response - x, Mean Response - y, Inner Corridor - x, Inner Corridor - y, Outer Corridor - x, Outer Corridor - y
6.760181311542163840e-01, 1.463790380076430031e+00, 4.816844349288524896e-01, 1.331001902450757779e+00, 4.816844349288524896e-01, 1.331001902450757779e+00
7.605351459293548944e-01, 1.543111673825530827e+00, 4.969797159528722696e-01, 1.310683920924439194e+00, 4.488816846103025338e-01, 1.410634708467218612e+00
8.445477359396686978e-01, 1.623607958202512913e+00, 5.136111430063875494e-01, 1.291529289758680532e+00, 4.446439010800614100e-01, 1.496498233692157953e+00
9.268922992414573292e-01, 1.707762843111140016e+00, 5.322549450721472120e-01, 1.274232624200245745e+00, 4.712050316226532587e-01, 1.578489816479998309e+00
1.008665929479699797e+00, 1.793323821567167187e+00, 5.530227041184838654e-01, 1.259677739681664299e+00, 5.244483797980221684e-01, 1.646088115877315516e+00
1.089823380514012729e+00, 1.880417542131054942e+00, 5.746864884546182273e-01, 1.246471042125729012e+00, 5.908158189745664757e-01, 1.701404258328677255e+00
1.171119417552056952e+00, 1.967669112605899606e+00, 5.977350584452439941e-01, 1.235898318217406366e+00, 6.543087519582269085e-01, 1.759746936297463815e+00
1.249212251799075357e+00, 2.062380434447747213e+00, 6.221101726381645936e-01, 1.228746882099761351e+00, 7.154924047479525040e-01, 1.820491743544131680e+00
1.325888716214664420e+00, 2.160831420507154377e+00, 6.472004075954469471e-01, 1.224638526080652934e+00, 7.783870470732153768e-01, 1.879115694633844091e+00
1.402055568351547876e+00, 2.260404085117466266e+00, 6.725882587544592672e-01, 1.223147550415055962e+00, 8.403154964868303489e-01, 1.939033149066935691e+00
1.476850582567252212e+00, 2.362751620133430208e+00, 6.979998922091982250e-01, 1.224068370011763607e+00, 8.968566018941485085e-01, 2.003813961330020543e+00
1.551519488513607214e+00, 2.465585340540551229e+00, 7.231929256704753284e-01, 1.227445152370582715e+00, 9.596157675282946942e-01, 2.062482403657399654e+00
1.626626035173370122e+00, 2.568032412975554735e+00, 7.478032550498802111e-01, 1.233721010744984081e+00, 1.017505866060567810e+00, 2.126171014680896310e+00
1.701626913985000655e+00, 2.671044205349300427e+00, 7.712710737900577707e-01, 1.243326512474436374e+00, 1.074227412163851314e+00, 2.190678932539932511e+00
1.776101775035045405e+00, 2.775151220090585014e+00, 7.932966581278093621e-01, 1.255882973491089460e+00, 1.135699188484632804e+00, 2.251229103654141639e+00
1.849038278972701788e+00, 2.882142875046660890e+00, 8.143067466526882070e-01, 1.270131972887364569e+00, 1.190263806960757176e+00, 2.317654783942055818e+00
1.920839284782269063e+00, 2.990713455480880967e+00, 8.337529114137894881e-01, 1.286521380167424233e+00, 1.244728502469587772e+00, 2.384575713001368502e+00
1.990763462152705721e+00, 3.101947030982715514e+00, 8.512557682227338551e-01, 1.304917766319121375e+00, 1.303020265107228903e+00, 2.448228584506525252e+00
2.062201429831919341e+00, 3.211806684353150754e+00, 8.680590956382878698e-01, 1.323986357921983714e+00, 1.360267855642175228e+00, 2.512093067781391742e+00
2.133973386427992391e+00, 3.321789825964317711e+00, 8.862933133791602858e-01, 1.341714282174022221e+00, 1.409472368324570457e+00, 2.583298195997704383e+00
2.205824140239967424e+00, 3.432191884843891927e+00, 9.054936020377368777e-01, 1.358298381321397352e+00, 1.463674883546090877e+00, 2.649288662134940520e+00
2.277607988513091541e+00, 3.542978337461323068e+00, 9.235030440070483015e-01, 1.376206023916856536e+00, 1.523790235453400532e+00, 2.709869822228820446e+00
2.349677762245991453e+00, 3.653817802578031237e+00, 9.405160894549556838e-01, 1.395097324506912484e+00, 1.570541004082931957e+00, 2.782251855263924156e+00
2.421766926947217957e+00, 3.764930068077340319e+00, 9.586578428939711571e-01, 1.412898834534066728e+00, 1.623355388029166013e+00, 2.848026011843675764e+00
2.493772867303700291e+00, 3.876571539709993797e+00, 9.773922351725988777e-01, 1.430045541968733236e+00, 1.682311884992305995e+00, 2.910306605473758523e+00
2.565026792707900682e+00, 3.989656964760887714e+00, 9.946332015160496143e-01, 1.448740864229971947e+00, 1.728866515136959325e+00, 2.981921365088483267e+00
2.635882773929402845e+00, 4.103626551722594051e+00, 1.011293363897777464e+00, 1.467916283794036270e+00, 1.780559437723321592e+00, 3.050672513897503713e+00
2.706403795288371938e+00, 4.218489415111300822e+00, 1.028721390696879956e+00, 1.486437349551636089e+00, 1.834937986408835986e+00, 3.117053200066260299e+00
2.768368890127630877e+00, 4.320654389233000714e+00, 1.047088858157734670e+00, 1.504025876749460311e+00, 1.883102330983129846e+00, 3.187895227956975663e+00
2.818875074515987844e+00, 4.404852405996329878e+00, 1.064149703496563681e+00, 1.522773844173431090e+00, 1.927719778949577911e+00, 3.257284418004350979e+00
2.840326878669786392e+00, 4.443595198779177302e+00, 1.079666078720136202e+00, 1.542923486721845538e+00, 1.985342077011648554e+00, 3.321234321082189744e+00
2.836084515154281060e+00, 4.440761492879339301e+00, 1.097761738465112824e+00, 1.560719498491101920e+00, 2.029937553827696028e+00, 3.393423009214438846e+00
2.881634254199833212e+00, 4.516883516019703393e+00, 1.116167234666884278e+00, 1.578247622324517874e+00, 2.078400977566597252e+00, 3.464274615487608955e+00
2.943842593414620179e+00, 4.621354715428565463e+00, 1.133142239095158432e+00, 1.597180241782761190e+00, 2.133036281392067579e+00, 3.528330007336605512e+00
3.009841963824281041e+00, 4.731951778293737476e+00, 1.148948964212613832e+00, 1.617084201092343854e+00, 2.178813707157202462e+00, 3.600891925942674821e+00
3.057286468701960747e+00, 4.809291613822082034e+00, 1.165867737165758200e+00, 1.636005145071256273e+00, 2.225188598498130332e+00, 3.669064433613758336e+00
3.080821402181848523e+00, 4.843989501042833545e+00, 1.184010804134028039e+00, 1.653826298808110051e+00, 2.279959360458704065e+00, 3.735041910793769127e+00
3.125438754815204501e+00, 4.918531668518780542e+00, 1.200590836613596002e+00, 1.672986342836075391e+00, 2.326384637902474850e+00, 3.806006670847787543e+00
3.194941545020955953e+00, 5.039055368106715171e+00, 1.215236594729981912e+00, 1.693777392932303894e+00, 2.372245374272865526e+00, 3.877224775405986090e+00
3.264296745294294144e+00, 5.160183945036547648e+00, 1.233220349758102685e+00, 1.711315051361651074e+00, 2.429209247785489634e+00, 3.934051594181354083e+00
3.332858812017819528e+00, 5.282709992787050446e+00, 1.252870642942909507e+00, 1.727184414769888043e+00, 2.466364822152979031e+00, 4.010756587402114270e+00
3.401197629537348277e+00, 5.405954327198881693e+00, 1.269339119013774386e+00, 1.746561835230339144e+00, 2.514833566905539719e+00, 4.077960790276987879e+00
3.469262798056581332e+00, 5.529922315025422641e+00, 1.283399396462653552e+00, 1.767701958361411307e+00, 2.567265759437073580e+00, 4.142260706124674563e+00
3.536757704215361731e+00, 5.654984489757803878e+00, 1.296576707997699751e+00, 1.789451685777349255e+00, 2.606293008171299608e+00, 4.219295372307214187e+00
3.603922646993114487e+00, 5.780880011587754552e+00, 1.312320441256309866e+00, 1.809279706706186985e+00, 2.653545986115556587e+00, 4.278673624427994149e+00
3.670506087860079703e+00, 5.907872539753474150e+00, 1.329904425101293697e+00, 1.827646896542090449e+00, 2.701299453751860202e+00, 4.347605794084650199e+00
3.736774199543976938e+00, 6.035673111850680783e+00, 1.344556027432598277e+00, 1.848420676130564599e+00, 2.743427227193265150e+00, 4.405814092865699472e+00
3.802779710907833621e+00, 6.164170611399074851e+00, 1.358861501421674056e+00, 1.869430656727980589e+00, 2.766233646612438868e+00, 4.489260312213457560e+00
3.856662427008416660e+00, 6.270583856166722647e+00, 1.371362466668463842e+00, 1.891577707610798242e+00, 2.784097657701786854e+00, 4.573907918731118905e+00
3.888254775817127751e+00, 6.335530381461432547e+00, 1.384812112860237976e+00, 1.913093045624100874e+00, 2.824925347601828118e+00, 4.649893650419605784e+00
3.889616874212869835e+00, 6.341803449616210564e+00, 1.402176093890871389e+00, 1.931672441754429759e+00, 2.852310680917140129e+00, 4.731844389110516857e+00
3.868240888356158536e+00, 6.309989858295277365e+00, 1.418020633358149096e+00, 1.951417043020845288e+00, 2.898762425647131380e+00, 4.802960521643352187e+00
3.846815968307920830e+00, 6.278102072382878873e+00, 1.430632566668460504e+00, 1.973501090047688367e+00, 2.940748470155733596e+00, 4.878079661214575147e+00
3.815508779299895625e+00, 6.224434967924178608e+00, 1.443478691009379533e+00, 1.995390023929431544e+00, 3.008803822795069305e+00, 4.931135651819420929e+00
3.752602373340521158e+00, 6.101069665219895022e+00, 1.458217419056151654e+00, 2.016115271587080038e+00, 3.082480641655328757e+00, 4.970891766409082813e+00
3.686016822954284233e+00, 5.969610227986305695e+00, 1.473616436458191403e+00, 2.036319966564223982e+00, 3.124143101949718559e+00, 5.038673015814447709e+00
3.626519633470795867e+00, 5.851829162856706290e+00, 1.489736411213299805e+00, 2.055990055755740897e+00, 3.156316381130254811e+00, 5.111252512153088290e+00
3.595107989434360718e+00, 5.785054802937886542e+00, 1.502964034095742196e+00, 2.077572133610142036e+00, 3.213435422968092592e+00, 5.168671441585226844e+00
3.595989762191065697e+00, 5.778569804538278731e+00, 1.514082612213450529e+00, 2.100444457837207235e+00, 3.232292475558347089e+00, 5.248924041025825105e+00
3.618855779144785512e+00, 5.810107714339686424e+00, 1.527048785495775718e+00, 2.122117624723824036e+00, 3.281388247898251898e+00, 5.309953216739081050e+00
3.641510135459570918e+00, 5.842051879014712235e+00, 1.543707514474350839e+00, 2.141333574966420628e+00, 3.312792575155876662e+00, 5.389379353549698770e+00
3.683743276746268780e+00, 5.916514525490751630e+00, 1.558591167892570795e+00, 2.161889684276819157e+00, 3.356164522347673707e+00, 5.450727194841613610e+00
3.750389500809141907e+00, 6.043444916663496258e+00, 1.572431268669340465e+00, 2.183225513423970643e+00, 3.375744342979920098e+00, 5.533661336114236384e+00
3.819391056434398024e+00, 6.176257723447149850e+00, 1.584798117622570723e+00, 2.205420605470921114e+00, 3.360382512691924006e+00, 5.617835237227216005e+00
3.887684147285158875e+00, 6.310428642471447525e+00, 1.596576382173213515e+00, 2.227960314410537546e+00, 3.348469258652924108e+00, 5.703604754026403434e+00
3.955700340641335799e+00, 6.445487761783517122e+00, 1.612152989892629895e+00, 2.247999194466524298e+00, 3.344787235737334274e+00, 5.790100287188806760e+00
4.023489627554077686e+00, 6.581220383257774920e+00, 1.628723542730345697e+00, 2.267291233590474686e+00, 3.349365648183647792e+00, 5.876558066947476178e+00
4.090684239008326450e+00, 6.718231719551963188e+00, 1.641880835627247182e+00, 2.288981803371777257e+00, 3.356955912440658718e+00, 5.962830753246543658e+00
4.157732499268596449e+00, 6.855947929622073111e+00, 1.654296680831715438e+00, 2.311165896239270712e+00, 3.369277993666158544e+00, 6.048509931856147048e+00
4.224575610951028182e+00, 6.994312961857448663e+00, 1.666310535695855410e+00, 2.333259838310765222e+00, 3.390681053066457729e+00, 6.132400918630463771e+00
4.291041264617672546e+00, 7.133764632203750899e+00, 1.682340163849225023e+00, 2.352861693630722950e+00, 3.421424717738747567e+00, 6.213292429388830307e+00
4.329841860166395939e+00, 7.217150571282960669e+00, 1.698112709158958955e+00, 2.372582179908190536e+00, 3.455262428718212764e+00, 6.292862226882433241e+00
4.332721742837109424e+00, 7.221680134560713782e+00, 1.712595030710822197e+00, 2.393467764071394832e+00, 3.489418377438995300e+00, 6.372355730000845320e+00
4.269370523049103028e+00, 7.081092388904735024e+00, 1.723856333713278399e+00, 2.416268224166096878e+00, 3.527840186968585368e+00, 6.449723993625499752e+00
4.211253715949861309e+00, 6.953547275741978950e+00, 1.735813081693284632e+00, 2.438678912618570838e+00, 3.564011297728344907e+00, 6.528273611953122391e+00
4.187658612258649882e+00, 6.911072544179159394e+00, 1.751777812180666194e+00, 2.458330144160566721e+00, 3.605951058175213664e+00, 6.603974987998873836e+00
4.182934613717384842e+00, 6.907889416054987741e+00, 1.768897661641463115e+00, 2.477095381975849886e+00, 3.645686462225402824e+00, 6.680780117291649667e+00
4.219524747121629282e+00, 6.986986808412987138e+00, 1.781823101419675037e+00, 2.498997413878104812e+00, 3.699836656112074351e+00, 6.747969949647307786e+00
4.287932133450360617e+00, 7.128900257445934585e+00, 1.793197860241830810e+00, 2.521643687717886273e+00, 3.772683865562600491e+00, 6.793080412040633398e+00
4.356413272669188430e+00, 7.271547361712950241e+00, 1.805350068505776395e+00, 2.543883682096753418e+00, 3.857469328485684024e+00, 6.793275658553298513e+00
4.424787363154191411e+00, 7.414904289948423433e+00, 1.821517758521910002e+00, 2.563283314299472870e+00, 3.930709012401848668e+00, 6.748692225194310446e+00
4.493465768835333662e+00, 7.558445460372323232e+00, 1.837167040810966823e+00, 2.583306765722405807e+00, 3.986740736977662625e+00, 6.705411293654483629e+00
4.557278866162579156e+00, 7.681167098837678786e+00, 1.851379871578537673e+00, 2.604337706794021212e+00, 3.985209466548139456e+00, 6.791749918813358988e+00
