Mean Response - x, Mean Response - y, Inner Corridor - x, Inner Corridor - y, Outer Corridor - x, Outer Corridor - y
6.123189901419162640e-01, 1.489164719550870153e+00, -1.559511132229872254e+00, -1.311110902247028420e+00, -1.559511132229872254e+00, -1.311110902247028420e+00
1.012284058028140921e+00, 2.061725357653312329e+00, -1.559319014457567265e+00, -1.311133221462127185e+00, -1.663059173680632830e+00, -1.297890390868180477e+00
1.219589265378145049e+00, 2.391791499498234330e+00, -1.559126896685262498e+00, -1.311155540677225728e+00, -1.763964206215984598e+00, -1.271641790174615760e+00
1.394910748898734454e+00, 2.676869540419714699e+00, -1.558934778912957508e+00, -1.311177859892324493e+00, -1.862067445540227295e+00, -1.236976484257209075e+00
1.551982099342148702e+00, 2.939685497131476755e+00, -1.558742661140652519e+00, -1.311200179107423258e+00, -1.878598508084411645e+00, -1.160748350859848177e+00
1.698154679554532143e+00, 3.185292631923255069e+00, -1.558550543368347530e+00, -1.311222498322521801e+00, -1.782156739776607379e+00, -1.121756106544363973e+00
1.836425367791608254e+00, 3.418103342538154177e+00, -1.558358425596042762e+00, -1.311244817537620566e+00, -1.680495214088522982e+00, -1.098511516518018150e+00
1.943375545434428586e+00, 3.601722168199170238e+00, -1.558166307823737773e+00, -1.311267136752719331e+00, -1.576591295391194469e+00, -1.088608496494374078e+00
2.009350430422395473e+00, 3.714933174842677488e+00, -1.557974190051432783e+00, -1.311289455967817874e+00, -1.472239382497131821e+00, -1.085069778399542662e+00
2.135019340767152496e+00, 3.918324192985591647e+00, -1.557782072279128016e+00, -1.311311775182916639e+00, -1.374135731453650200e+00, -1.067808138097889659e+00
2.256936892904001013e+00, 4.115640005754587882e+00, -1.557589954506823027e+00, -1.311334094398015404e+00, -1.311171397699896435e+00, -9.846152135489855128e-01
2.375441720979569737e+00, 4.307998853002392714e+00, -1.557397836734518037e+00, -1.311356413613113947e+00, -1.256079258168886881e+00, -8.960037097181799970e-01
2.420518613824565790e+00, 4.387190862464875885e+00, -1.557205718962213048e+00, -1.311378732828212712e+00, -1.193426742634329241e+00, -8.125884535271676867e-01
2.440462760540060394e+00, 4.427913849109121003e+00, -1.557013601189908281e+00, -1.311401052043311477e+00, -1.149010268981707661e+00, -7.208626938025334274e-01
2.477681270810967451e+00, 4.496283988281437161e+00, -1.556821483417603291e+00, -1.311423371258410242e+00, -1.125258803359252768e+00, -6.200201501671227522e-01
2.551975476810410814e+00, 4.618448992898556149e+00, -1.556629365645298302e+00, -1.311445690473508785e+00, -1.063351250856062302e+00, -5.370456721961964774e-01
2.659861873680538391e+00, 4.789200915473858622e+00, -1.556437247872993535e+00, -1.311468009688607550e+00, -9.770590914325643084e-01, -4.817706049789464706e-01
2.749650870159651816e+00, 4.931646249206918853e+00, -1.556245130100688545e+00, -1.311490328903706315e+00, -9.083040790564217426e-01, -4.047316298157535019e-01
2.775830108683122077e+00, 4.977082057641777801e+00, -1.556053012328383556e+00, -1.311512648118804858e+00, -8.525217541469359839e-01, -3.165010275877603307e-01
2.719201205243227282e+00, 4.899168570890434893e+00, -1.555860894556078788e+00, -1.311534967333903623e+00, -7.871074020685632222e-01, -2.352815558176299671e-01
2.733811106808220703e+00, 4.925200651784535033e+00, -1.555668776783773799e+00, -1.311557286549002388e+00, -7.321378408092714674e-01, -1.466917636561207439e-01
2.811347567815502657e+00, 5.045833576147088273e+00, -1.555476659011468810e+00, -1.311579605764100931e+00, -6.714969799699175290e-01, -6.172899257415697533e-02
2.911081346411161785e+00, 5.200242937442686397e+00, -1.555284541239163820e+00, -1.311601924979199696e+00, -6.190198878571604446e-01, 2.843095341037501708e-02
3.009569516312208037e+00, 5.352712912596984118e+00, -1.555092423466859053e+00, -1.311624244194298461e+00, -5.580073141047237062e-01, 1.130129151993761460e-01
3.079691375884058058e+00, 5.463333674179634336e+00, -1.554900305694554064e+00, -1.311646563409397004e+00, -4.902883496565702548e-01, 1.922457995069841719e-01
3.060281513804318454e+00, 5.443430435075343077e+00, -1.554708187922249074e+00, -1.311668882624495769e+00, -4.236446397384874274e-01, 2.724847278035617548e-01
3.034281184381355079e+00, 5.413213142896648122e+00, -1.554516070149944307e+00, -1.311691201839594534e+00, -3.584050214370391729e-01, 3.537620499639267391e-01
3.036404581286081594e+00, 5.420497243428330059e+00, -1.554323952377639317e+00, -1.311713521054693077e+00, -2.977854744551747812e-01, 4.386055379927010778e-01
3.064234500243948833e+00, 5.464747990916656306e+00, -1.554131834605334328e+00, -1.311735840269791842e+00, -2.383336188115002252e-01, 5.243126358373189078e-01
3.118162048787217255e+00, 5.548605133230098296e+00, -1.553939716833029339e+00, -1.311758159484890607e+00, -1.794906583297053160e-01, 6.103092763787865138e-01
3.207274993874656754e+00, 5.685814689898182728e+00, -1.553747599060724571e+00, -1.311780478699989150e+00, -1.266983073823207961e-01, 7.002522961923891565e-01
3.297385916828565744e+00, 5.824494324938190637e+00, -1.553555481288419582e+00, -1.311802797915087915e+00, -7.869593648955154619e-02, 7.929436466042706355e-01
3.322631283087929432e+00, 5.867565244964492166e+00, -1.553363363516114592e+00, -1.311825117130186680e+00, -3.255710536297540258e-02, 8.863961219975426964e-01
3.298229420359016117e+00, 5.837807818925715431e+00, -1.553171245743809825e+00, -1.311847436345285223e+00, 1.413076143287349783e-02, 9.797513997139175590e-01
3.302833926160579026e+00, 5.853221747652328055e+00, -1.552979127971504836e+00, -1.311869755560383988e+00, 6.133830883036221759e-02, 1.072639207431680619e+00
3.368183556663469247e+00, 5.956051687677594408e+00, -1.552787010199199846e+00, -1.311892074775482753e+00, 1.061122921637857180e-01, 1.166928636135813102e+00
3.395924172653418172e+00, 6.000341907809019659e+00, -1.552594892426894857e+00, -1.311914393990581296e+00, 1.580488183201325114e-01, 1.257463580778765300e+00
3.423629854674482331e+00, 6.044551923647795810e+00, -1.552402774654590090e+00, -1.311936713205680061e+00, 2.003993040070372877e-01, 1.352882390600979257e+00
3.451764687101489315e+00, 6.089378398422499394e+00, -1.552210656882285100e+00, -1.311959032420778826e+00, 2.519262593684266083e-01, 1.443632254033053286e+00
3.525269150408665286e+00, 6.201537272890452535e+00, -1.552018539109980111e+00, -1.311981351635877591e+00, 3.147950515903563673e-01, 1.526836152281033643e+00
3.555343169267986436e+00, 6.248438558636441265e+00, -1.551826421337675344e+00, -1.312003670850976134e+00, 3.894869397993959703e-01, 1.599481759687186866e+00
3.544750353931199971e+00, 6.237298261738646765e+00, -1.551634303565370354e+00, -1.312025990066074899e+00, 4.522554823411188973e-01, 1.682894503448618684e+00
3.550899377809261015e+00, 6.254277837554582220e+00, -1.551442185793065365e+00, -1.312048309281173664e+00, 5.252303633700826646e-01, 1.757305853739292267e+00
3.590935432899085011e+00, 6.321164803778596131e+00, -1.551250068020760375e+00, -1.312070628496272207e+00, 5.872894548477879395e-01, 1.840913546344799867e+00
3.673305985290068687e+00, 6.447822803953620507e+00, -1.551057950248455608e+00, -1.312092947711370972e+00, 6.556251926001046559e-01, 1.919663938058621122e+00
3.741569458708598805e+00, 6.553560968247016838e+00, -1.550865832476150619e+00, -1.312115266926469737e+00, 7.138028040955807230e-01, 2.005651571957671742e+00
3.776768601377099355e+00, 6.610298819961244021e+00, -1.550673714703845629e+00, -1.312137586141568280e+00, 7.501307834484598480e-01, 2.101783677210452339e+00
3.803591484671420719e+00, 6.654502079242889501e+00, -1.550481596931540862e+00, -1.312159905356667045e+00, 7.617790098208278016e-01, 2.205535506329084239e+00
3.833559475316801635e+00, 6.703141341886682092e+00, -1.550289479159235873e+00, -1.312182224571765810e+00, 7.796764524939743257e-01, 2.308331098648073176e+00
3.863369814773094379e+00, 6.750661415170076118e+00, -1.550097361386930883e+00, -1.312204543786864352e+00, 8.101550599944646880e-01, 2.408088105110995247e+00
3.849223236815512816e+00, 6.731318260591554470e+00, -1.549905243614626116e+00, -1.312226863001963117e+00, 8.551617174726799941e-01, 2.502098141879520288e+00
3.821126586413098547e+00, 6.689745631703796214e+00, -1.549713125842321126e+00, -1.312249182217061882e+00, 8.840035881660902595e-01, 2.600578239969447036e+00
3.813465513568444099e+00, 6.678137736495554755e+00, -1.549521008070016137e+00, -1.312271501432160425e+00, 9.006782588002354428e-01, 2.703610319719476074e+00
3.851120458613164654e+00, 6.732390020180921475e+00, -1.549328890297711148e+00, -1.312293820647259190e+00, 9.253268357455094462e-01, 2.805053733129016180e+00
