Mean Response - x, Mean Response - y, Inner Corridor - x, Inner Corridor - y, Outer Corridor - x, Outer Corridor - y
6.885644788829377028e-01, 1.950520344009983420e+00, 4.647103815742831268e-01, 1.760456020886097761e+00, 4.647103815742831268e-01, 1.760456020886097761e+00
8.084435777760088371e-01, 2.068401491262200409e+00, 4.733925558549350598e-01, 1.694028043711950815e+00, 4.562591898650940059e-01, 1.851867713200388232e+00
9.267531774310985293e-01, 2.187857619531812681e+00, 4.866121410654357105e-01, 1.628368188986485166e+00, 4.529980266159583935e-01, 1.943609276186351709e+00
1.042041891989194502e+00, 2.312457019327486041e+00, 5.029309942003239442e-01, 1.563400801817788066e+00, 4.554207942958755639e-01, 2.035377273235252638e+00
1.155323498375044444e+00, 2.439660644172966464e+00, 5.243673912906955392e-01, 1.499955608980637178e+00, 4.634005685569739796e-01, 2.126826194385142976e+00
1.267416690112376232e+00, 2.567735779919470662e+00, 5.512933296572015696e-01, 1.438655127603828854e+00, 4.752789971861129392e-01, 2.217840497562747260e+00
1.377952977506252674e+00, 2.697094574295949343e+00, 5.874716810210497409e-01, 1.382427311093056721e+00, 4.949264414789443789e-01, 2.307494604724391163e+00
1.487423486125633687e+00, 2.826788729726909200e+00, 6.351284570318234124e-01, 1.335766628523952892e+00, 5.221321454460015055e-01, 2.395108463375233754e+00
1.595842675444115955e+00, 2.956861547934307222e+00, 6.989761072815994236e-01, 1.320630331460283413e+00, 5.605517804232273971e-01, 2.478336917455133737e+00
1.703733213142177183e+00, 3.086474887420154634e+00, 7.586510101920020954e-01, 1.348518766343875797e+00, 6.164925768658232608e-01, 2.550340994897295488e+00
1.810847668137180788e+00, 3.215932268933863636e+00, 8.023175820331505115e-01, 1.399004401387336172e+00, 6.963518321035395697e-01, 2.593462518636526770e+00
1.917083923342712604e+00, 3.345387528519408793e+00, 8.456691314182467334e-01, 1.449704126913895053e+00, 7.481322811732229461e-01, 2.668789791103713949e+00
2.022868854788011372e+00, 3.474179254680605400e+00, 8.926421713408042580e-01, 1.496766556291506456e+00, 8.248113200261939504e-01, 2.713465939765650425e+00
2.128323207389020144e+00, 3.602164148802973642e+00, 9.262062645451518694e-01, 1.554607849331903768e+00, 8.774732934800870687e-01, 2.788132443974958630e+00
2.233223239822323514e+00, 3.729694125856994447e+00, 9.803553926274514163e-01, 1.591747459585222346e+00, 9.575520033921749441e-01, 2.824656063688738339e+00
2.330583707550816452e+00, 3.846239531016160118e+00, 1.015781701649026036e+00, 1.648304869164052278e+00, 9.994502692362430274e-01, 2.905662443352019064e+00
2.367314446194488387e+00, 3.886916942312849788e+00, 1.058462348577543510e+00, 1.697173729024163524e+00, 1.074464279555702895e+00, 2.927376342621007765e+00
2.362391266020471559e+00, 3.876245975745614469e+00, 1.102999351022380337e+00, 1.744916498126021676e+00, 1.109810755413077832e+00, 3.011814711414120715e+00
2.382243451944592749e+00, 3.898467629195604633e+00, 1.128825357115864847e+00, 1.806694302401286478e+00, 1.179229929798225829e+00, 3.039765864317019339e+00
2.465839130282869274e+00, 4.002446995969307864e+00, 1.183892187911417926e+00, 1.842660215600581131e+00, 1.215625464289091129e+00, 3.109556254855926571e+00
2.567244779393455634e+00, 4.128009850040407436e+00, 1.217272390754458700e+00, 1.900014631969215273e+00, 1.275842260154747887e+00, 3.170506257384394733e+00
2.653865431454610846e+00, 4.236454949793937885e+00, 1.242110998163555857e+00, 1.962240760692523178e+00, 1.318419693158053629e+00, 3.199987521973550297e+00
2.684913150603686294e+00, 4.280796435813280176e+00, 1.293025067687328500e+00, 1.982443820854711269e+00, 1.359637880673914445e+00, 3.281172142337119180e+00
2.661546435083662399e+00, 4.256722062637262383e+00, 1.324024259540132809e+00, 2.040826512784589486e+00, 1.428423700144848540e+00, 3.324963499799923117e+00
2.641489994929445029e+00, 4.227320200387348237e+00, 1.355121053660945263e+00, 2.099456462584593730e+00, 1.474230930775918269e+00, 3.402777170671344997e+00
2.694111292314027128e+00, 4.285332964796164212e+00, 1.407200235511478992e+00, 2.128394574893379243e+00, 1.532226089592489959e+00, 3.450298374279676228e+00
2.786732396901523856e+00, 4.398341674447871164e+00, 1.435530190530176942e+00, 2.188535861019995199e+00, 1.585213119949235638e+00, 3.522031425898299872e+00
2.885528743764879778e+00, 4.520310075560758811e+00, 1.463379253864548923e+00, 2.242516395320215850e+00, 1.643013945384071084e+00, 3.587008943011611439e+00
2.955144354179857213e+00, 4.608184745337119637e+00, 1.519507098370721287e+00, 2.270943093024222037e+00, 1.708334013213250291e+00, 3.644044981899678071e+00
2.937986111084448293e+00, 4.591721850512897163e+00, 1.547686120281135613e+00, 2.331374745978040952e+00, 1.754365541637503245e+00, 3.722267851267535566e+00
2.913457922217524754e+00, 4.567093209816365906e+00, 1.565182165189539010e+00, 2.396002506648744479e+00, 1.816411831523317089e+00, 3.787901381217030572e+00
2.967185621587832056e+00, 4.630997916846300022e+00, 1.624380421355241744e+00, 2.401069463150334204e+00, 1.872175576467537184e+00, 3.860062401539670063e+00
3.019332140349552329e+00, 4.687622419697590637e+00, 1.656863026744855194e+00, 2.459488490953710027e+00, 1.928890073384799564e+00, 3.931686364162949143e+00
3.090475849230534866e+00, 4.770735818201806921e+00, 1.677942703433628724e+00, 2.523067314408154349e+00, 1.989627266009119211e+00, 4.000135646149775681e+00
3.187067028488154818e+00, 4.889309135356931790e+00, 1.731863031787412632e+00, 2.541901457048063140e+00, 2.045583388174777806e+00, 4.072575083008143970e+00
3.217155959573879453e+00, 4.926871476415410456e+00, 1.770089431367202204e+00, 2.595782085235601500e+00, 2.101457875701969957e+00, 4.145092357692361063e+00
3.193879568552380643e+00, 4.901788419751689219e+00, 1.793743386591871714e+00, 2.658445274126837621e+00, 2.161193782685528308e+00, 4.214511095212624348e+00
3.201104915216019808e+00, 4.915655225760222180e+00, 1.847584047745463476e+00, 2.686752138692246383e+00, 2.213367203337509359e+00, 4.289883104984629547e+00
3.279878656030285722e+00, 5.012092502785193915e+00, 1.887460436485197679e+00, 2.739703352717889118e+00, 2.264140279795190391e+00, 4.366288951681359443e+00
3.337503611187398800e+00, 5.077030041655215875e+00, 1.912825727410786714e+00, 2.801657665465041358e+00, 2.324028188143111517e+00, 4.435730817825493055e+00
3.386015819227210955e+00, 5.129454659193213750e+00, 1.969182218470314716e+00, 2.835586307458133337e+00, 2.379600141606921682e+00, 4.508716518366740367e+00
3.437064656864369905e+00, 5.190442536379872962e+00, 2.008525138312384772e+00, 2.889404616845675733e+00, 2.448963353178958080e+00, 4.568472329677999433e+00
3.466155277215707375e+00, 5.225881095941568688e+00, 2.041889831090810681e+00, 2.946201940397348729e+00, 2.511629621031366000e+00, 4.634324684047232523e+00
3.424512675944596740e+00, 5.178762118736494280e+00, 2.093784443763725189e+00, 2.988215119256268260e+00, 2.562402673176964463e+00, 4.710542734865615699e+00
3.414910565410922860e+00, 5.170985202774684097e+00, 2.133106826947964052e+00, 3.042226038787116948e+00, 2.627310060562535465e+00, 4.775266440617126129e+00
3.476086862906418773e+00, 5.246346002472498604e+00, 2.169765022499516860e+00, 3.097916853184607966e+00, 2.689622826003734257e+00, 4.842451703976625055e+00
3.552118411306825596e+00, 5.336167419620607255e+00, 2.220025274166482543e+00, 3.141572097793478680e+00, 2.744010545896677478e+00, 4.916306932269773888e+00
3.602570445846012159e+00, 5.391101181387948138e+00, 2.259525485162258818e+00, 3.195467434178763000e+00, 2.798403039170683559e+00, 4.989922208435040751e+00
3.666265187937606473e+00, 5.463867318836199694e+00, 2.296924763095969713e+00, 3.250357387457514680e+00, 2.847853730754926094e+00, 5.066489662376057801e+00
3.752520428410392128e+00, 5.567011932727493395e+00, 2.348154847201747941e+00, 3.293197493137130838e+00, 2.904205532870434148e+00, 5.138622221538981627e+00
3.770426154988343992e+00, 5.590888139292378156e+00, 2.386477986423334308e+00, 3.348015922336665895e+00, 2.969603649687005742e+00, 5.202908365934303170e+00
3.730828643269926470e+00, 5.546650607254702159e+00, 2.424056615222987876e+00, 3.402444289394447097e+00, 3.026087532464352581e+00, 5.272103964440009172e+00
3.712003680849960574e+00, 5.526694691789709957e+00, 2.473390575189221785e+00, 3.447599235015470942e+00, 3.056617987738406317e+00, 5.358490229443808595e+00
3.743650955039079076e+00, 5.565551762952353876e+00, 2.512633695093481112e+00, 3.501733503211715615e+00, 3.108690847021905235e+00, 5.433891036030736643e+00
3.835655742179882477e+00, 5.675304120987417100e+00, 2.547181763455039771e+00, 3.559114354041630346e+00, 3.166358305558665709e+00, 5.505302968303191768e+00
3.925302226446852671e+00, 5.781951846070890078e+00, 2.596107185111010462e+00, 3.604726984814875745e+00, 3.231404812242390179e+00, 5.569931941013502197e+00
3.997091316429734587e+00, 5.864832523110842466e+00, 2.645544118652551457e+00, 3.649702915836225525e+00, 3.293764343043484200e+00, 5.637133656628780187e+00
4.018013096544872376e+00, 5.884029250133568922e+00, 2.697322382622595160e+00, 3.692150679657996815e+00, 3.354011183666206097e+00, 5.706194178347047341e+00
4.001270764597534502e+00, 5.859930319793231313e+00, 2.740512200202305237e+00, 3.743286326017549737e+00, 3.420534504214540750e+00, 5.769385341425743441e+00
3.971911109404688833e+00, 5.821473231440440266e+00, 2.781291352294468222e+00, 3.796075864483095863e+00, 3.461593565673731998e+00, 5.848712299318918006e+00
3.945475374557132486e+00, 5.788119522063809086e+00, 2.830541758254519369e+00, 3.841383476531334829e+00, 3.494459730877263581e+00, 5.934365350392592831e+00
3.977351410184933656e+00, 5.826214425392083562e+00, 2.872723055620740595e+00, 3.893315449798917083e+00, 3.539413229627366597e+00, 6.014282470918061563e+00
4.016551648035560085e+00, 5.872884595355909454e+00, 2.912098315810618399e+00, 3.947235831221916236e+00, 3.598504586246641157e+00, 6.084392827962832762e+00
4.085030294145839846e+00, 5.953431016975208934e+00, 2.955703442468746278e+00, 3.998049426113200244e+00, 3.653812023747438964e+00, 6.157565223224586326e+00
4.175391183240237503e+00, 6.059269701076202885e+00, 2.990217392978427036e+00, 4.055363734676232568e+00, 3.702928664490744204e+00, 6.235025893351119564e+00
4.228740806529743601e+00, 6.123423146801685313e+00, 3.016450030252322723e+00, 4.116920868768760400e+00, 3.751358544341865553e+00, 6.312169996881708656e+00
4.251825659266578405e+00, 6.153439554379334986e+00, 3.060474641834699749e+00, 4.166897187775809641e+00, 3.794190191567632819e+00, 6.393043293192242515e+00
4.277358377674402412e+00, 6.186015943177182841e+00, 3.104258676975681475e+00, 4.217479334388952061e+00, 3.855439243127201987e+00, 6.461176480187327265e+00
4.316838626245861121e+00, 6.228673345303540110e+00, 3.144707809961128753e+00, 4.269845243934383916e+00, 3.926596256243359395e+00, 6.519158924280588963e+00
4.336351568775928200e+00, 6.244318145450486135e+00, 3.195103273151338463e+00, 4.313844549282435104e+00, 3.999357544565417921e+00, 6.575000407861485208e+00
4.322748755828879297e+00, 6.222025167806770618e+00, 3.236547948672462649e+00, 4.366359418351502875e+00, 4.077695553739625112e+00, 6.622363437065986957e+00
4.310928617674680829e+00, 6.202331221687409801e+00, 3.270145421578605216e+00, 4.424276497572519062e+00, 4.121346440192461102e+00, 6.701118208332768056e+00
4.328341534026020732e+00, 6.218860073708128766e+00, 3.304508609189976021e+00, 4.481702819659245662e+00, 4.157317504561523158e+00, 6.785550088034384864e+00
4.366832386800464150e+00, 6.264786678014137244e+00, 3.342829455028224483e+00, 4.535644396499288078e+00, 4.206084596340087245e+00, 6.863213772383458533e+00
4.384078424123904583e+00, 6.287670705958954720e+00, 3.395168626210857354e+00, 4.577413261271494171e+00, 4.268209307825826748e+00, 6.930683126746401967e+00
4.408730192481004728e+00, 6.318240814846663334e+00, 3.440226214913811642e+00, 4.626874647253707451e+00, 4.337156513528491075e+00, 6.991219829617829618e+00
4.490158266811065779e+00, 6.410245334718325694e+00, 3.484595553040710225e+00, 4.676520229114486504e+00, 4.407730379022275713e+00, 7.049709918075938830e+00
4.579271193565142894e+00, 6.510562088493078825e+00, 3.539990267225355147e+00, 4.714082564347141791e+00, 4.476192306410803567e+00, 7.110227993503827726e+00
4.668202045980085479e+00, 6.610677862526870285e+00, 3.587993188968253477e+00, 4.760647309090122015e+00, 4.535352243663409055e+00, 7.180380366927760605e+00
4.715885535068069956e+00, 6.665517770925270646e+00, 3.635001232059088316e+00, 4.808241914053360766e+00, 4.600224909714438759e+00, 7.245105750563666014e+00
4.708911691130174937e+00, 6.655681882795756898e+00, 3.684294235716781607e+00, 4.853466698040118210e+00, 4.666830291477542580e+00, 7.308043794267925719e+00
4.649911172653447444e+00, 6.586287346420669486e+00, 3.725205734322076356e+00, 4.906449529266043719e+00, 4.733115361465902282e+00, 7.371480063838191654e+00
4.590852209402523698e+00, 6.516722500332437384e+00, 3.762773534924720220e+00, 4.961501884076306546e+00, 4.791751544289916787e+00, 7.441927423992952484e+00
4.570530702344594687e+00, 6.488616319953678158e+00, 3.816037325091843346e+00, 5.000925481577830567e+00, 4.849238004079162501e+00, 7.513492870015832992e+00
4.631823575935995585e+00, 6.549309029002844618e+00, 3.873159587278706351e+00, 5.035406931946431186e+00, 4.909858314505397558e+00, 7.582444393303473973e+00
4.720922044645263327e+00, 6.645285003551762770e+00, 3.921267461124733344e+00, 5.081759396248717309e+00, 4.970702635267971736e+00, 7.651157426885933255e+00
4.809854305437998967e+00, 6.741085533239300709e+00, 3.960802377167050192e+00, 5.135796422726064847e+00, 5.026158158751142579e+00, 7.723059458502381958e+00
4.898614317014868824e+00, 6.836703621777367346e+00, 4.007789169290684406e+00, 5.183214172857930180e+00, 5.067758819870644693e+00, 7.804758264297937842e+00
4.987215237729700767e+00, 6.932153656053557711e+00, 4.050588747302211523e+00, 5.234657786629540510e+00, 5.121397716314548099e+00, 7.879129736657960237e+00
5.068424977840128243e+00, 7.020297451869187633e+00, 4.092449857457928886e+00, 5.286874958174450967e+00, 5.185243670316048714e+00, 7.945030519688811133e+00
5.102019185363885434e+00, 7.060543830218367845e+00, 4.139303967937629558e+00, 5.334630591580581616e+00, 5.256737440247325033e+00, 8.002435160763040400e+00
5.067996757647938999e+00, 7.032256017151727434e+00, 4.178473041367459118e+00, 5.388900390690576359e+00, 5.336203749072336855e+00, 8.048215305604802694e+00
5.004222012634456540e+00, 6.967798559741652298e+00, 4.219740884012713522e+00, 5.441346436924944463e+00, 5.422316724718890590e+00, 8.079819096622623320e+00
4.916671412330406277e+00, 6.872503311253953306e+00, 4.264773000155352101e+00, 5.490839505716573754e+00, 5.512384376675261599e+00, 8.096988168333309588e+00
4.829675398791384744e+00, 6.776560205890461930e+00, 4.315080294496025815e+00, 5.534831612876537577e+00, 5.604086846159346713e+00, 8.098446115746574137e+00
4.794722806844117891e+00, 6.732924788723728682e+00, 4.370331758516051046e+00, 5.572582995022311358e+00, 5.694724962224550602e+00, 8.084661642875255794e+00
4.837183058193495810e+00, 6.771502919559979183e+00, 4.420495912853358078e+00, 5.616891932024502765e+00, 5.781812538395684875e+00, 8.055879692090760713e+00
4.925009181990454898e+00, 6.861606388843355830e+00, 4.463939662408766829e+00, 5.667804366074931544e+00, 5.863819783344093928e+00, 8.014704629964182203e+00
5.012737651862354760e+00, 6.951695093476398135e+00, 4.503790573319747637e+00, 5.680030390715726796e+00, 5.940072912591000787e+00, 7.963735941198104129e+00
5.100057016032743640e+00, 7.041381186914769330e+00, 4.484204550034605496e+00, 5.616776866205230867e+00, 6.007985205516935601e+00, 7.902092775017520943e+00
5.186922273222480229e+00, 7.130620732463633260e+00, 4.459750356730013188e+00, 5.555273194968498807e+00, 6.065345362478653968e+00, 7.830526735945974259e+00
5.273416478078076786e+00, 7.219494516648026661e+00, 4.433911996844483561e+00, 5.494047606961548702e+00, 6.111000101222370695e+00, 7.750995080922166380e+00
5.357848572557205813e+00, 7.306426287256901020e+00, 4.416201746365611136e+00, 5.429696017492387838e+00, 6.144220299018633646e+00, 7.665523041972105212e+00
5.411831282998974757e+00, 7.363742163005976060e+00, 4.385254152499864944e+00, 5.370663004024509135e+00, 6.163497375731703087e+00, 7.575847808858727994e+00
5.377279374219871677e+00, 7.333871115610431701e+00, 4.353377633991109441e+00, 5.313593140012921268e+00, 6.169041821965879357e+00, 7.484302282514200932e+00
5.292137984933922290e+00, 7.248333012808135578e+00, 4.299722485772445424e+00, 5.273537074293868976e+00, 6.227090239275491435e+00, 7.413720961298241541e+00
5.207317035511326075e+00, 7.161394843910244390e+00, 4.251965628587242918e+00, 5.226661844246454081e+00, 6.255220211204561842e+00, 7.328217596670896228e+00
5.123377287165245875e+00, 7.073973302673739028e+00, 4.210779972308296593e+00, 5.173905477588609081e+00, 6.265115899132832844e+00, 7.239203406674939778e+00
5.085678185943081075e+00, 7.035748369067718500e+00, 4.179783577947715933e+00, 5.114656284447608670e+00, 6.268190471340289172e+00, 7.152491194658672669e+00
5.111341261770919964e+00, 7.060856124005472800e+00, 4.157409734342405017e+00, 5.051584252764123484e+00, 6.251483566008210424e+00, 7.067937047437398590e+00
