Mean Response - x, Mean Response - y, Inner Corridor - x, Inner Corridor - y, Outer Corridor - x, Outer Corridor - y
6.114888199881319819e-01, 1.825680783711726818e+00, 2.506369196103347963e-01, -1.599272103542599410e-01, 2.506369196103347963e-01, -1.599272103542599410e-01
8.192184861300931820e-01, 2.091517442229242629e+00, 2.503659177267160141e-01, -1.228441811344086199e-01, 2.515151435798151924e-01, -2.042414656334731737e-01
9.867279056218160038e-01, 2.308973126125888786e+00, 2.277399155844413159e-01, -9.419272706965725606e-02, 2.516724616933780356e-01, -2.485607749395582766e-01
1.131925863898211260e+00, 2.498462939893444812e+00, 2.005285292674388042e-01, -1.179330774348868321e-01, 2.497852440907739335e-01, -2.928216771830766119e-01
1.259967149812418086e+00, 2.674378488091047501e+00, 1.895250110251384679e-01, -1.532768036329046069e-01, 2.437696576465559484e-01, -3.366650777149657325e-01
1.376976239852457651e+00, 2.839718576910879033e+00, 1.821809436212185607e-01, -1.895868710303650062e-01, 2.318147848831042801e-01, -3.792300383195776337e-01
1.488933674529814732e+00, 2.989528919059193601e+00, 1.772900551808758440e-01, -2.263324850060333959e-01, 2.036616211743702554e-01, -3.730379880833094575e-01
1.594686771075797926e+00, 3.129884362692766597e+00, 1.652976676204539197e-01, -2.512407134704523481e-01, 1.976024972545154246e-01, -4.098712977877968511e-01
1.694944291151974758e+00, 3.263424771988719275e+00, 1.401233666612338724e-01, -2.586226307947264713e-01, 1.947807093241892273e-01, -4.540982335932769454e-01
1.790817526961636874e+00, 3.389641614724178353e+00, 1.289339978004743481e-01, -2.938232426849584078e-01, 1.886459346070183674e-01, -4.979249311447602189e-01
1.882097180427410477e+00, 3.512789886248074200e+00, 1.229942772209243057e-01, -3.303653188145280750e-01, 1.765514596236323897e-01, -5.404544089288688680e-01
1.970470966408275793e+00, 3.631451909989323212e+00, 1.206266012396745579e-01, -3.673645109990624213e-01, 1.457525935515557591e-01, -5.666030623015506640e-01
2.056245428446408230e+00, 3.746945655706614975e+00, 1.196539035520464700e-01, -4.044356911511163832e-01, 1.411553687575573257e-01, -6.106854749709036412e-01
2.139784465728437723e+00, 3.858897628963774196e+00, 1.011697566754530958e-01, -3.958387907170075048e-01, 1.352607884636152225e-01, -6.545631455377460828e-01
2.221340365816152573e+00, 3.966749050684295952e+00, 8.128827593152743169e-02, -4.082146837234047476e-01, 1.236403461874241855e-01, -6.972103779912143251e-01
2.301125528768126927e+00, 4.071796279411032060e+00, 6.759717052979706542e-02, -4.425565392369702478e-01, 9.866776957605383203e-02, -7.329980814689985857e-01
2.381801451458811503e+00, 4.166755224277128633e+00, 5.792108104035984667e-02, -4.782992018735880979e-01, 8.750889300117301040e-02, -7.745516732105656166e-01
2.459646875889367035e+00, 4.263456084315367711e+00, 4.797201408323964467e-02, -5.140237111749628163e-01, 8.109401186124499950e-02, -8.183817736454501723e-01
2.535134599197973237e+00, 4.360725979578918832e+00, 3.031238041286577617e-02, -5.459769053927724380e-01, 6.893234631537030477e-02, -8.608701332552423091e-01
2.612309204643388227e+00, 4.445374197105622649e+00, 8.008388786329775563e-03, -5.749461038921100942e-01, 4.601702899820452747e-02, -8.984117958919468627e-01
