Mean Response - x, Mean Response - y, Inner Corridor - x, Inner Corridor - y, Outer Corridor - x, Outer Corridor - y
4.192519610621326387e-01, 1.480235671152893007e+00, 1.497938299077255841e+00, 2.780796482562232885e+00, 1.497938299077255841e+00, 2.780796482562232885e+00
5.883890130055816625e-01, 1.659247624287000678e+00, 1.535932396646360498e+00, 2.780359883530862497e+00, 1.447893586184493486e+00, 2.782543631233465042e+00
7.547331661689647975e-01, 1.836791092426384830e+00, 1.573928226874540925e+00, 2.780560777503707559e+00, 1.397914856325154442e+00, 2.785623944664626706e+00
9.157736236278363195e-01, 2.017944101763410547e+00, 1.611915147577608565e+00, 2.781411905885386560e+00, 1.348057694909676529e+00, 2.790264521871425263e+00
1.068651589623373699e+00, 2.198574293286260417e+00, 1.649875313123911891e+00, 2.783065175009772574e+00, 1.298424664796620442e+00, 2.796883834143414571e+00
1.162666150348859340e+00, 2.324552863493967614e+00, 1.687789131049147517e+00, 2.785557522865530711e+00, 1.249041008348547699e+00, 2.805170400540802245e+00
1.254839318441297147e+00, 2.452175701219836856e+00, 1.725629396657451853e+00, 2.788985678365794030e+00, 1.200413401893482668e+00, 2.816833817595571166e+00
1.398967488510699964e+00, 2.642359768681570742e+00, 1.763337465261723525e+00, 2.793638585596835089e+00, 1.154158568872067248e+00, 2.835844596235850723e+00
1.540490991419295908e+00, 2.831939026025212858e+00, 1.800828325687473530e+00, 2.799795726576500332e+00, 1.160507691115240769e+00, 2.878030874546587903e+00
1.652181414557503780e+00, 2.982520124198510647e+00, 1.838268768740619175e+00, 2.806255604327008601e+00, 1.135541790662676576e+00, 2.915456049497398006e+00
1.612699392058422498e+00, 2.913152706826532157e+00, 1.875240954113974290e+00, 2.814929694364471491e+00, 1.176275912497908527e+00, 2.944505938789840904e+00
1.618211935495841303e+00, 2.907859644422885026e+00, 1.910860537528208170e+00, 2.828101229235847391e+00, 1.217936424315292809e+00, 2.972246081022059894e+00
1.736722514651686922e+00, 3.067436925940115966e+00, 1.946471576858971098e+00, 2.840465271934295544e+00, 1.246610947410276227e+00, 3.011090707692567925e+00
1.869692180609889176e+00, 3.249600292371552346e+00, 1.983899089139136152e+00, 2.846948327542411228e+00, 1.224638013276498905e+00, 3.049383892954872444e+00
1.962894459460372998e+00, 3.381028827917896606e+00, 2.020773585940718764e+00, 2.856065130939553054e+00, 1.227951053989354779e+00, 3.094158554143466411e+00
2.013918207872247290e+00, 3.458592338970316149e+00, 2.056623765006943216e+00, 2.868619318806460594e+00, 1.269766103772198340e+00, 3.121122067550527124e+00
2.090600837819126312e+00, 3.562411730726962933e+00, 2.086457735575354633e+00, 2.890448664886598795e+00, 1.315751879681614556e+00, 3.140814127139934353e+00
2.162958616029159842e+00, 3.658176724026349635e+00, 2.097075851828964055e+00, 2.918183756064694379e+00, 1.363587030567628755e+00, 3.155553689859406763e+00
2.285449464302025113e+00, 3.822407392956099770e+00, 2.066336314991227940e+00, 2.940421434363279296e+00, 1.412242798872837657e+00, 3.167359471753244726e+00
2.365699589839065808e+00, 3.933004545266448826e+00, 2.072487544633963008e+00, 2.959303674646069027e+00, 1.378355803788823497e+00, 3.187019049928477621e+00
2.396998733398576054e+00, 3.980782087723779394e+00, 2.106527025391635277e+00, 2.976177190827743679e+00, 1.339293352534345782e+00, 3.216987080039350300e+00
2.438074592896311454e+00, 4.038405754607476084e+00, 2.141921178414560423e+00, 2.989638564049301728e+00, 1.326661787033570183e+00, 3.260488706105896473e+00
2.530959257632857895e+00, 4.160000909222286936e+00, 2.177884658615112823e+00, 3.001814420454306909e+00, 1.356372523796101293e+00, 3.297834215367947852e+00
2.575547170273235320e+00, 4.215571962134928796e+00, 2.212501140844701730e+00, 3.017405804282517146e+00, 1.398034494577164333e+00, 3.325615567921226035e+00
2.618228270737161356e+00, 4.268366284458498860e+00, 2.241077108124163164e+00, 3.041801480924287482e+00, 1.436225357752798582e+00, 3.354430918186068755e+00
2.666555256292213461e+00, 4.326655871072648374e+00, 2.252424331342669284e+00, 3.072632489095680874e+00, 1.430635825997780497e+00, 3.397874719396121179e+00
2.710963283987410932e+00, 4.378617096956813448e+00, 2.234203807683694976e+00, 3.104309057070700373e+00, 1.467625707725102924e+00, 3.431476843177179159e+00
2.739000540757855262e+00, 4.415027190989230910e+00, 2.201695961908630483e+00, 3.123578758493324781e+00, 1.507189823323197952e+00, 3.462109542840867693e+00
2.766803478195315247e+00, 4.453638668127221756e+00, 2.200536923381341214e+00, 3.135480270688914661e+00, 1.534407664977816221e+00, 3.503322163576175985e+00
2.831636532582052723e+00, 4.538965283433085141e+00, 2.237810986511580502e+00, 3.142807627400991510e+00, 1.576709572637210011e+00, 3.529953870896604506e+00
2.951326043084058437e+00, 4.693710496600065341e+00, 2.274560561509618051e+00, 3.152410788245316731e+00, 1.606185689940626826e+00, 3.568916584820332805e+00
3.068368167777377753e+00, 4.844977895404690038e+00, 2.310547035210243738e+00, 3.164569721115884082e+00, 1.652614523279880343e+00, 3.585445829073552027e+00
3.141170249705420137e+00, 4.937718281727327074e+00, 2.345558845302260664e+00, 3.179277222330137764e+00, 1.701350739017168712e+00, 3.596898835674962047e+00
3.162577602787825182e+00, 4.961481675234852950e+00, 2.378947308372489466e+00, 3.197364672939029262e+00, 1.750822369456969341e+00, 3.604601226763016975e+00
3.123509865951346942e+00, 4.905016612349413663e+00, 2.405353531970257031e+00, 3.223760687176271844e+00, 1.769055884127514355e+00, 3.611655396559605435e+00
3.096366559169889232e+00, 4.867892246152186075e+00, 2.414041711413916325e+00, 3.256889530807012267e+00, 1.721025831917962323e+00, 3.625622040257395540e+00
3.118906139422742196e+00, 4.897826767633756795e+00, 2.410942787030006418e+00, 3.293612452469876217e+00, 1.676710074702535191e+00, 3.646088758439612665e+00
3.141460441293560724e+00, 4.927292024785479008e+00, 2.430423299105672452e+00, 3.321083064539338547e+00, 1.702540431286990064e+00, 3.685683247602634438e+00
3.192551203671181170e+00, 4.992236226915071740e+00, 2.464554714886300069e+00, 3.337702844047480966e+00, 1.750185289601049021e+00, 3.701009364216568898e+00
3.304550546269478417e+00, 5.133446120785158939e+00, 2.492480081758052801e+00, 3.361251559536006184e+00, 1.799109272910446977e+00, 3.711540457421636408e+00
3.418794304385908589e+00, 5.277462193615563457e+00, 2.504775742997660259e+00, 3.396819201649746933e+00, 1.848745886936284943e+00, 3.718067801678015982e+00
3.515326276955939022e+00, 5.398117273193701493e+00, 2.510135729247139125e+00, 3.434145803673713804e+00, 1.892201242477557388e+00, 3.742671554156033586e+00
3.565012864390824543e+00, 5.457503058108374994e+00, 2.516614010842413318e+00, 3.469176781046512836e+00, 1.886671602155187477e+00, 3.760193433179500833e+00
3.544532375144971326e+00, 5.426922445262807315e+00, 2.497524936078542535e+00, 3.501835066852970524e+00, 1.838573795699196323e+00, 3.773953145379884244e+00
3.522542967849130680e+00, 5.393717228739763669e+00, 2.468876200548233868e+00, 3.526660249047136819e+00, 1.793504638944757090e+00, 3.794497110373298288e+00
3.502002830970146974e+00, 5.364572816061406790e+00, 2.481812474922993950e+00, 3.539726138091055407e+00, 1.776872548923060346e+00, 3.833816097950542900e+00
3.445405111180175339e+00, 5.294088705525108907e+00, 2.518497082187352909e+00, 3.549547899095252479e+00, 1.817524686791781585e+00, 3.862985467683494711e+00
3.427388409582142526e+00, 5.272183391874214031e+00, 2.553982847496073738e+00, 3.563057805004650191e+00, 1.864608742519611173e+00, 3.879740735842259092e+00
3.439248076362412476e+00, 5.287724103439671808e+00, 2.561969737373713141e+00, 3.584708858511658214e+00, 1.913243812868684168e+00, 3.891541442086603908e+00
3.505110588313297360e+00, 5.369470904093552655e+00, 2.547583468777901317e+00, 3.609645465405953324e+00, 1.962697205577040416e+00, 3.899341207702800460e+00
3.605912289654246816e+00, 5.493818130616287654e+00, 2.584417030013567818e+00, 3.618881782582694218e+00, 1.951490237221694457e+00, 3.907371617841579159e+00
3.715349348247372507e+00, 5.628696283114137167e+00, 2.620188456417425371e+00, 3.631594028121617246e+00, 1.904101380984115632e+00, 3.923234014174688866e+00
3.824302657661598825e+00, 5.762978612694833913e+00, 2.647824111334379893e+00, 3.649820971174166484e+00, 1.896027694110554496e+00, 3.946259706409509072e+00
3.932794106816567048e+00, 5.896691988596569622e+00, 2.630727395527486134e+00, 3.682749399749804642e+00, 1.942250030245092240e+00, 3.965500165972154711e+00
4.006692579273521737e+00, 5.984903012738882033e+00, 2.594941437729063605e+00, 3.695478414110641818e+00, 1.972806196814737900e+00, 3.997970115778917144e+00
4.055526709923098494e+00, 6.040143896874862861e+00, 2.558256200141446168e+00, 3.705309424624829262e+00, 2.003852345176699412e+00, 4.034938212474756369e+00
4.074041603357596131e+00, 6.058768527799330172e+00, 2.520966455350347690e+00, 3.712539483829678133e+00, 2.037599181812589144e+00, 4.071229447628654796e+00
3.994141115873958814e+00, 5.960449429180603609e+00, 2.483296135318846520e+00, 3.717462028412647612e+00, 2.058286687835825024e+00, 4.116330050749085423e+00
3.920506897632757504e+00, 5.871778773226698611e+00, 2.505744895491777591e+00, 3.722925715292946691e+00, 2.083383304905907174e+00, 4.159503645588159770e+00
3.873711847444345491e+00, 5.816892098816862422e+00, 2.543209320289533615e+00, 3.729262498012080318e+00, 2.116471839808728550e+00, 4.197036672856448547e+00
3.827456810192897851e+00, 5.761580307014071423e+00, 2.580511332939080749e+00, 3.736490416730356312e+00, 2.155321208098406327e+00, 4.228518197627304076e+00
3.801596306373981715e+00, 5.730114807575215963e+00, 2.617613240477998371e+00, 3.744679612520534384e+00, 2.184975718861824845e+00, 4.268472678592570624e+00
3.847817335296137120e+00, 5.785209598155625521e+00, 2.654477338555324195e+00, 3.753880407233670002e+00, 2.219915525280138802e+00, 4.304310886221706767e+00
3.953245899293500454e+00, 5.911668486523557142e+00, 2.691638390409190063e+00, 3.761763717017159614e+00, 2.219026316597439763e+00, 4.353997084946228391e+00
4.058082546905108501e+00, 6.037394589094596142e+00, 2.728067738125326436e+00, 3.772496625218774380e+00, 2.218849267879803744e+00, 4.403055171373808641e+00
4.162296297465959860e+00, 6.162350145894246900e+00, 2.763405410735225054e+00, 3.786389989337448192e+00, 2.240536836376179064e+00, 4.447633177794719117e+00
4.265919406593433827e+00, 6.286574201891181879e+00, 2.789597692300815446e+00, 3.812212056858697462e+00, 2.276219629360395569e+00, 4.482523554438216706e+00
4.341314067954283651e+00, 6.374201196292072602e+00, 2.786390282055915879e+00, 3.839794833595937984e+00, 2.317399936082228606e+00, 4.510824044272094824e+00
4.392914125430986694e+00, 6.430981454483384319e+00, 2.755317593645268737e+00, 3.861590339043318387e+00, 2.360526205966506641e+00, 4.536082543972023373e+00
4.440974069380563272e+00, 6.483018428775388031e+00, 2.771150539518788758e+00, 3.889425145568407238e+00, 2.402569494245780035e+00, 4.563269887270355873e+00
4.469789574331948678e+00, 6.512759818186762750e+00, 2.801164296732318704e+00, 3.910912634362469387e+00, 2.446730901363726840e+00, 4.586718677910849529e+00
4.452503245754641625e+00, 6.489197754028343645e+00, 2.835114802654768340e+00, 3.927966658487508589e+00, 2.489117582560636865e+00, 4.611033592543368975e+00
4.369236378133280141e+00, 6.389307086701855098e+00, 2.843964030163558476e+00, 3.951337572629757933e+00, 2.515961817672715206e+00, 4.653255432914096268e+00
4.274184999132050855e+00, 6.275803390972533258e+00, 2.829887909142132951e+00, 3.983962780924149349e+00, 2.548950263074218459e+00, 4.690730979645677756e+00
4.218474852363683247e+00, 6.212235043606850304e+00, 2.843788051231863623e+00, 4.018035334194486552e+00, 2.580356840604312030e+00, 4.728745409571405212e+00
4.170554672311073574e+00, 6.157770749372694752e+00, 2.870969225430485494e+00, 4.044557812333238189e+00, 2.603190551924083884e+00, 4.773313003787971631e+00
4.160855179457260355e+00, 6.146936652536870049e+00, 2.898843474136113763e+00, 4.070199785800392434e+00, 2.633261272208609061e+00, 4.813146141980573667e+00
4.219544259539692810e+00, 6.214805741716790344e+00, 2.931032028503878895e+00, 4.090369242613005163e+00, 2.637572603548718586e+00, 4.861702999829644156e+00
4.314393660628842220e+00, 6.324286737609928544e+00, 2.962805463337728540e+00, 4.111091286749819496e+00, 2.635294714258139326e+00, 4.911644258916685324e+00
4.413436939160483519e+00, 6.438559809643162879e+00, 2.991968941646085955e+00, 4.135390750190032882e+00, 2.643667996583121127e+00, 4.960768919153053957e+00
4.512064421243898948e+00, 6.552337915564957704e+00, 3.018899533184668638e+00, 4.162118099713950414e+00, 2.666199888954297048e+00, 5.005286737538914288e+00
4.610320236889089429e+00, 6.665674984232787814e+00, 3.042353421773384969e+00, 4.192009181853413757e+00, 2.697491879842066620e+00, 5.044264540308478040e+00
4.708252246155850251e+00, 6.778627701309184239e+00, 3.065609868104026248e+00, 4.222056963877456326e+00, 2.734531112130115460e+00, 5.077882270998345327e+00
4.805870044307653188e+00, 6.891207747151477214e+00, 3.097302324936574092e+00, 4.242104682380302805e+00, 2.776064075157608890e+00, 5.105785142888751515e+00
4.902430379490399837e+00, 7.002587877336431177e+00, 3.129644992315865348e+00, 4.262033405460424973e+00, 2.820284886163777038e+00, 5.129212987399534462e+00
4.990946353729118989e+00, 7.104977162571427307e+00, 3.158990447084565112e+00, 4.286080932531630694e+00, 2.866793744283897993e+00, 5.147661080032882808e+00
4.989826797645875445e+00, 7.105336990479798942e+00, 3.184010142546117805e+00, 4.314373021526892948e+00, 2.912486698276298469e+00, 5.168138572583789170e+00
4.946428545362125284e+00, 7.056023505172400512e+00, 3.201814130468840336e+00, 4.347547921765725576e+00, 2.953818566780805455e+00, 5.193165846053732437e+00
4.850028832741251072e+00, 6.945846156934294413e+00, 3.206534350584415272e+00, 4.384839698522571716e+00, 2.961668843269174456e+00, 5.239434427624993340e+00
4.754277390013959881e+00, 6.835348660519412256e+00, 3.197869623009295559e+00, 4.421624654284058487e+00, 2.953366788148624522e+00, 5.288643299255608277e+00
4.659143224415593032e+00, 6.724548540224134285e+00, 3.183423575314119791e+00, 4.456565635900178179e+00, 2.934911903268394795e+00, 5.334752650905127958e+00
4.564605530115980692e+00, 6.613367944384575203e+00, 3.182257358753734611e+00, 4.493651440989358647e+00, 2.933590578167974083e+00, 5.384250887773158745e+00
4.484232515799170926e+00, 6.517167172821984877e+00, 3.204638782108663708e+00, 4.524266678566549515e+00, 2.951162798902769779e+00, 5.430552650054105257e+00
4.453958479116493230e+00, 6.477021901584477881e+00, 3.236333535016044927e+00, 4.545171170714458420e+00, 2.981839023935310529e+00, 5.469823004514656972e+00
4.493740045689739837e+00, 6.519874551321980682e+00, 3.265016306120868794e+00, 4.569973967522693137e+00, 3.020330713262390887e+00, 5.501655785297431933e+00
4.566271909243902805e+00, 6.600440080778390950e+00, 3.290283814432648946e+00, 4.598327357574862440e+00, 3.062601674532863694e+00, 5.528451936865154792e+00
4.661394476386536034e+00, 6.706722295797734823e+00, 3.317636185977874685e+00, 4.624061045479069598e+00, 3.107811987905983564e+00, 5.549888437481120818e+00
4.756265638748200963e+00, 6.812718667301226105e+00, 3.351473841997025804e+00, 4.640595826784666755e+00, 3.154162515182048043e+00, 5.568805070985789030e+00
4.850896671897094059e+00, 6.918440732347865385e+00, 3.386372061275680245e+00, 4.655571077500528787e+00, 3.202212332102772230e+00, 5.582831444612498473e+00
4.945336635431317518e+00, 7.023945744248099921e+00, 3.419491803412334718e+00, 4.674185587503609796e+00, 3.248614281416560612e+00, 5.600474541129791817e+00
5.039590074319561630e+00, 7.129238968374998819e+00, 3.452386352613152187e+00, 4.693201053586657068e+00, 3.287789829618921189e+00, 5.631576313954730573e+00
5.131378491557160082e+00, 7.231840741505457970e+00, 3.484738927604235759e+00, 4.713123248758411599e+00, 3.319915097899593714e+00, 5.669727028052595763e+00
5.175641832218773608e+00, 7.282765948775477227e+00, 3.515801867205655018e+00, 4.734924159511606057e+00, 3.350489942603312343e+00, 5.709321348675720387e+00
5.195782066761674756e+00, 7.307261867701948965e+00, 3.543909611279207894e+00, 4.760405099423861586e+00, 3.385605248620325636e+00, 5.744922923580384477e+00
5.201512486404600288e+00, 7.316042332245475954e+00, 3.569155705448185945e+00, 4.788666087710649499e+00, 3.412862167871222319e+00, 5.786881857504384996e+00
5.158541700308396649e+00, 7.271057705732089538e+00, 3.590202614916612411e+00, 4.820233572503406450e+00, 3.440581381104748981e+00, 5.828558283341180868e+00
5.080396611701523568e+00, 7.184990631609877276e+00, 3.605464626119636140e+00, 4.855003222018049236e+00, 3.444552302812022404e+00, 5.875194581744466404e+00
4.988652831925965536e+00, 7.081765901007941011e+00, 3.612395197189412155e+00, 4.892325051665346258e+00, 3.460825893362889705e+00, 5.921148112212237358e+00
4.956701805697400154e+00, 7.042918793367625163e+00, 3.612560507996677384e+00, 4.930153939680945285e+00, 3.467840052736290701e+00, 5.968188639827508801e+00
4.946141694455390869e+00, 7.026376922940836600e+00, 3.627861910269416512e+00, 4.964458013597451647e+00, 3.501972453954557807e+00, 6.003575429546974540e+00
4.953878505461680959e+00, 7.028574379808113726e+00, 3.660879677092196971e+00, 4.983143851298478921e+00, 3.536523309004105720e+00, 6.031836656588854595e+00
4.976645615773645837e+00, 7.046134115357838290e+00, 3.691781941434523873e+00, 5.005209790678565085e+00, 3.528701234420568600e+00, 6.074039910754163607e+00
5.022059088671031013e+00, 7.086962944772262851e+00, 3.720525740160147254e+00, 5.029993436883662739e+00, 3.565887677962389368e+00, 6.106411134243495020e+00
5.089677503399065550e+00, 7.155413775971170232e+00, 3.751848902576965017e+00, 5.051031777643856913e+00, 3.611922000073714223e+00, 6.126085013733285400e+00
5.146089289918620580e+00, 7.214816346296054839e+00, 3.784786904435241350e+00, 5.069931013667402731e+00, 3.656586553870518674e+00, 6.148158359293163677e+00
5.166656642821311429e+00, 7.237830919641912608e+00, 3.816527050140332999e+00, 5.090802652285733032e+00, 3.698774959572568743e+00, 6.174896596629220191e+00
5.175581019699151852e+00, 7.248233101633597464e+00, 3.846209486215939943e+00, 5.114463716090712708e+00, 3.724714036232978920e+00, 6.217507502663496055e+00
5.184278667021416709e+00, 7.257980060326797656e+00, 3.872988289202947687e+00, 5.141401191385518210e+00, 3.736916335368788200e+00, 6.263188502021480808e+00
5.189122123283699040e+00, 7.264462058011482704e+00, 3.897177458627001823e+00, 5.170664579539742789e+00, 3.755749483676519063e+00, 6.299241728759039205e+00
