Time,Rotation,Torque,Folder,Theta,TestTorque,DR
0,0,-0.00591743737459183,0-180,0,0.00591743737459183,0.12312401086092
0.16,0.0330662727356028,0.129041448235512,0-180,0,0.129041448235512,0.127529073506593
0.24,0.087525844574003,0.256570521742105,0-180,0,0.256570521742105,0.158127397298813
0.32,0.159924030303998,0.414697919040918,0-180,0,0.414697919040918,0.165684614330531
0.4,0.255292654037497,0.580382533371449,0-180,0,0.580382533371449,0.136635452508926
0.48,0.337818861007698,0.717017985880375,0-180,0,0.717017985880375,0.143258366733789
0.6,0.443830490112301,0.860276352614164,0-180,0,0.860276352614164,0.141057278960946
0.72,0.543957352638301,1.00133363157511,0-180,0,1.00133363157511,0.12520048767328
0.84,0.640951395034801,1.12653411924839,0-180,0,1.12653411924839,0.0446752645075301
0.88,0.680117011070301,1.17120938375592,0-180,0,1.17120938375592,0.0829463824629799
0.96,0.763909220695499,1.2541557662189,0-180,0,1.2541557662189,0.17308732494712
1.08,0.885697603225701,1.42724309116602,0-180,0,1.42724309116602,0.13539772480726
1.2,1.0012739896775,1.56264081597328,0-180,0,1.56264081597328,0.13541523367167
1.28,1.0847765207291,1.69805604964495,0-180,0,1.69805604964495,0.14446936547756
1.36,1.1665034294129,1.84252541512251,0-180,0,1.84252541512251,0.11076852679253
1.44,1.2472915649414,1.95329394191504,0-180,0,1.95329394191504,0.13058800250291
1.52,1.3375103473664,2.08388194441795,0-180,0,2.08388194441795,0.10181963443756
1.6,1.4250683784485,2.18570157885551,0-180,0,2.18570157885551,0.10138526558876
1.68,1.5122294425965,2.28708684444427,0-180,0,2.28708684444427,0.10312944650651
1.76,1.6042131185532,2.39021629095078,0-180,0,2.39021629095078,0.12344699352979
1.84,1.6929405927658,2.51366328448057,0-180,0,2.51366328448057,0.11724829673767
1.92,1.7823332548142,2.63091158121824,0-180,0,2.63091158121824,0.0461092218756702
1.96,1.8248248100281,2.67702080309391,0-180,0,2.67702080309391,0.11885929852724
2.04,1.909630894661,2.79588010162115,0-180,0,2.79588010162115,0.14069601893425
2.16,2.0385003089905,2.9365761205554,0-180,0,2.9365761205554,0.11097248643637
2.28,2.1618604660034,3.04754860699177,0-180,0,3.04754860699177,0.10071992874145
2.4,2.2767984867096,3.14826853573322,0-180,0,3.14826853573322,0.14841295778752
2.52,2.3975890874863,3.29668149352074,0-180,0,3.29668149352074,0.0201284885406503
2.56,2.4290192127228,3.31680998206139,0-180,0,3.31680998206139,0.13661235570907
2.64,2.51784324646,3.45342233777046,0-180,0,3.45342233777046,0.14262013137341
2.76,2.6584821939469,3.59604246914387,0-180,0,3.59604246914387,0.11085234582424
2.84,2.7594941854477,3.70689481496811,0-180,0,3.70689481496811,0.13296417891979
2.96,2.8850913047791,3.8398589938879,0-180,0,3.8398589938879,0.0876232981681802
3.08,3.0042564868927,3.92748229205608,0-180,0,3.92748229205608,0.14540106058121
3.16,3.0908703804016,4.07288335263729,0-180,0,4.07288335263729,0.11633560061455
3.28,3.2057386636734,4.18921895325184,0-180,0,4.18921895325184,0.12250356376171
3.36,3.294267654419,4.31172251701355,0-180,0,4.31172251701355,0.10691657662392
3.44,3.3742243051529,4.41863909363747,0-180,0,4.41863909363747,0.11075846850872
3.56,3.4875798225403,4.52939756214619,0-180,0,4.52939756214619,0.135150551795959
3.68,3.6087781190873,4.66454811394215,0-180,0,4.66454811394215,0.13127326965332
3.8,3.7258404493332,4.79582138359547,0-180,0,4.79582138359547,0.11015012860298
3.88,3.8086670637131,4.90597151219845,0-180,0,4.90597151219845,0.10310709476471
3.96,3.8859844207764,5.00907860696316,0-180,0,5.00907860696316,0.103897973895069
4.04,3.962100148201,5.11297658085823,0-180,0,5.11297658085823,0.110744684934621
4.16,4.0645873546601,5.22372126579285,0-180,0,5.22372126579285,0.11106394231319
4.24,4.14417386055,5.33478520810604,0-180,0,5.33478520810604,0.1173872500658
4.36,4.2577546834946,5.45217245817184,0-180,0,5.45217245817184,0.125015899539
4.48,4.3813294172287,5.57718835771084,0-180,0,5.57718835771084,0.12502335011959
4.6,4.4961279630661,5.70221170783043,0-180,0,5.70221170783043,0.13859197497368
4.72,4.6098428964615,5.84080368280411,0-180,0,5.84080368280411,0.10873824357986
4.84,4.7191482782364,5.94954192638397,0-180,0,5.94954192638397,0.142806395888329
4.96,4.8349285125733,6.0923483222723,0-180,0,6.0923483222723,0.11501796543598
5.08,4.9527794122696,6.20736628770828,0-180,0,6.20736628770828,0.122709572315221
5.2,5.0802487134934,6.3300758600235,0-180,0,6.3300758600235,0.13270378112793
5.32,5.2073585987091,6.46277964115143,0-180,0,6.46277964115143,0.11653527617454
5.44,5.3241312503815,6.57931491732597,0-180,0,6.57931491732597,0.10759681463242
5.56,5.4393750429154,6.68691173195839,0-180,0,6.68691173195839,0.13462677598
5.68,5.5563837289811,6.82153850793839,0-180,0,6.82153850793839,0.15022978186607
5.8,5.6752163171769,6.97176828980446,0-180,0,6.97176828980446,0.12113973498344
5.92,5.7981312274933,7.0929080247879,0-180,0,7.0929080247879,0.11398270726204
6.04,5.9107571840287,7.20689073204994,0-180,0,7.20689073204994,0.0433415174484297
6.08,5.9490913152695,7.25023224949837,0-180,0,7.25023224949837,-0.0436373054981303
6.12,5.9755378961563,7.20659494400024,0-180,0,7.20659494400024,-0.11071413755416
6.36,6.0444062948227,7.09588080644608,0-180,0,7.09588080644608,-0.0191897153854397
6.4,6.0444116592408,7.07669109106064,0-180,0,7.07669109106064,-0.0180602073669398
6.44,6.0444116592408,7.0586308836937,0-180,0,7.0586308836937,0
6.44,6.0444116592408,7.0586308836937,0-180,0,7.0586308836937,-0.0157251954078701
6.48,6.062285900116,7.04290568828583,0-180,0,7.04290568828583,-0.0376462936401403
6.52,6.0561811923981,7.00525939464569,0-180,0,7.00525939464569,-0.0491499900817898
6.56,6.0413432121277,6.9561094045639,0-180,0,6.9561094045639,-0.07804706692695
6.6,6.0389614105225,6.87806233763695,0-180,0,6.87806233763695,-0.00604763627053018
6.64,6.0294395685196,6.87201470136642,0-180,0,6.87201470136642,-0.0979959964752197
6.68,6.0160875320435,6.7740187048912,0-180,0,6.7740187048912,-0.0815391540527308
6.72,5.996721982956,6.69247955083847,0-180,0,6.69247955083847,-0.07939636707306
6.76,5.9731560945511,6.61308318376541,0-180,0,6.61308318376541,-0.0683031976222992
6.8,5.9497833251953,6.54477998614311,0-180,0,6.54477998614311,-0.08458420634269
6.84,5.9229665994645,6.46019577980042,0-180,0,6.46019577980042,-0.0902362167835307
6.88,5.8861827850342,6.36995956301689,0-180,0,6.36995956301689,-0.0840060412883696
6.92,5.8589047193528,6.28595352172852,0-180,0,6.28595352172852,-0.1329429447651
6.96,5.816799402237,6.15301057696342,0-180,0,6.15301057696342,-0.0785931944847098
7,5.7795971632004,6.07441738247871,0-180,0,6.07441738247871,-0.11946968734264
7.04,5.738280415535,5.95494769513607,0-180,0,5.95494769513607,-0.0971481204032907
7.08,5.6927794218064,5.85779957473278,0-180,0,5.85779957473278,-0.104770809412
7.12,5.647509098053,5.75302876532078,0-180,0,5.75302876532078,-0.10131672024727
7.16,5.606079697609,5.65171204507351,0-180,0,5.65171204507351,-0.10728351771832
7.2,5.5597257614136,5.54442852735519,0-180,0,5.54442852735519,-0.101128220558159
7.24,5.5125188827515,5.44330030679703,0-180,0,5.44330030679703,-0.0747352838516306
7.28,5.4699414968491,5.3685650229454,0-180,0,5.3685650229454,-0.0908073037862698
7.32,5.4288071393967,5.27775771915913,0-180,0,5.27775771915913,-0.0902522355318096
7.36,5.3857469558716,5.18750548362732,0-180,0,5.18750548362732,-0.0728435814380699
7.4,5.3406804800034,5.11466190218925,0-180,0,5.11466190218925,-0.0904034823179201
